NUM_Qs ,MAX_RANK ,NORM_INV
     2 ,      10 ,0.400185
     2 ,      20 ,0.449815
     2 ,      40 ,0.47519
     2 ,      80 ,0.4878
     2 ,     160 ,0.49307
     2 ,     320 ,0.497035
     2 ,     640 ,0.498335
     2 ,    1000 ,0.49948
     4 ,      10 ,0.30058
     4 ,      20 ,0.399305
     4 ,      40 ,0.450455
     4 ,      80 ,0.47434
     4 ,     160 ,0.48623
     4 ,     320 ,0.492825
     4 ,     640 ,0.49613
     4 ,    1000 ,0.49728
     8 ,      10 ,0.100985
     8 ,      20 ,0.300945
     8 ,      40 ,0.399525
     8 ,      80 ,0.44998
     8 ,     160 ,0.474945
     8 ,     320 ,0.486875
     8 ,     640 ,0.494035
     8 ,    1000 ,0.49582
    16 ,      10 ,0.0
    16 ,      20 ,0.09941
    16 ,      40 ,0.299085
    16 ,      80 ,0.39902
    16 ,     160 ,0.44923
    16 ,     320 ,0.47301
    16 ,     640 ,0.485165
    16 ,    1000 ,0.489965
